words,¿â´æ,¹ÉÆ±
resection,1,2
survey,1,2
totals,1,2
perks,1,2
awards,1,4
granted,1,2
grant,1,2
intel's,1,2
slide,1,3
17,1,2
amd,1,2
merrill,1,4
lynch,1,3
mcdonald's,1,2
firing,1,2
cylinders,1,2
accepting,1,2
embracing,1,2
serve,1,2
reminder,1,2
exceptionalism,1,2
factors,1,4
capabilities,1,2
choe,1,2
facebook,1,4
ridiculous,1,2
pointless,1,2
chose,1,2
weinberg,1,2
chat,1,2
precocious,1,2
youngster,1,2
favourite,1,2
hotel,1,2
scala,1,2
opera,1,2
walking,1,2
distance,1,2
shopping,1,2
malls,1,2
boutiques,1,2
94,1,2
stay,1,3
fairly,1,4
tragedy,1,2
prompted,1,2
suspension,1,3
australian,1,2
2007,1,5
composite,1,3
understanding,1,2
perspective,1,5
novice,1,3
backed,1,3
lme,1,2
margin,1,6
paying,1,5
morse,1,2
guy,1,2
caught,1,3
wave,1,3
venture,1,3
mergers,1,4
structured,1,2
largely,1,4
replacing,1,2
preferred,1,5
approaches,1,2
probability,1,2
volt,1,2
utilizing,1,2
ai,1,2
expertise,1,2
pure,1,2
cache,1,2
retrieved,1,2
backend,1,2
shutting,1,2
cutting,1,2
fire-sale,1,2
sjm's,1,2
tripled,1,2
outperforming,1,2
seriously,1,2
wealthy,1,3
leslau,1,2
road,1,2
oversubscribed,1,2
repurchase,1,5
fraught,1,2
mining,1,2
oomed,1,2
decreased,1,2
70,1,5
pension,1,3
allotted,1,2
ipo-,1,2
placing,1,2
trillion,1,3
propped,1,2
bets,1,3
aren't,1,4
broader,1,4
health,1,3
woes,1,2
beat,1,2
quarters,1,2
premium,1,6
groupon,1,3
brokerage,1,3
inefficient,1,2
unstable,1,2
terms,1,6
style,1,2
exposure,1,2
disney,1,2
park,1,2
slipped,1,2
working,1,5
week's,1,3
overtime,1,2
admin,1,2
finances,1,2
changed,1,4
nonvoting,1,2
stockholder's,1,2
consent,1,2
judgment,1,2
board,1,4
prohibited,1,2
founders,1,2
allies,1,2
introduces,1,2
computes,1,2
guru12,1,2
pick,1,4
international-stock,1,2
plus,1,3
interactive,1,2
scroll,1,2
ranges,1,2
drawn,1,2
dividend,1,14
reduces,1,2
stockholders,1,4
expansion,1,3
shaanxi,1,2
munger,1,2
pitch,1,2
mentioned,1,4
sokol,1,2
lubrizol,1,3
person,1,2
repay,1,3
aid,1,2
one-third,1,3
certificate,1,7
analysts,1,4
nail,1,3
coffin,1,2
venezuela's,1,2
conduct,1,2
lehman,1,3
joke,1,2
sky,1,3
executive,1,6
trades,1,9
thousandths,1,2
andrew,1,2
haines,1,2
gaining,1,2
losing,1,5
partly,1,2
agree,1,2
consistently,1,3
starters,1,2
tangential,1,2
marcus,1,2
badly,1,2
course,1,6
caster,1,2
spec,1,3
lifted,1,2
jeep,1,2
bigger,1,2
tires,1,2
strategist,1,2
richard,1,4
bernstein,1,2
korea,1,2
kospi,1,2
reeling,1,2
effects,1,4
wiretaps,1,2
chatter,1,2
ge,1,3
profitable,1,3
40,1,3
anytime,1,2
learned,1,2
extent,1,2
trip,1,2
asia,1,3
19,1,2
registered,1,2
listen,1,2
acme-stock-purchase,1,2
protocol,1,2
aware,1,2
coupon,1,2
citi,1,2
interesting,1,2
holder,1,5
vote,1,2
meetings,1,3
guarantee,1,3
cuts,1,2
expectations,1,4
borrowing,1,2
slid,1,2
currencies,1,3
doubled,1,2
certificates,1,2
compare,1,3
barometer,1,2
assigned,1,2
purposes,1,2
printed,1,2
anybody,1,3
choosing,1,2
trophy,1,2
sum,1,2
lived,1,2
appreciation,1,5
custody,1,2
custodian,1,2
buyout,1,2
victim,1,2
presto,1,2
renren's,1,2
louise,1,2
wrong,1,3
john,1,3
havens,1,2
investment-banking,1,2
chief,1,3
awarded,1,2
9,1,3
floated,1,7
opted,1,2
meritocratic,1,2
discipline,1,2
petrobras,1,2
deep-sea,1,2
eyeballing,1,2
delta,1,2
desk,1,2
prison,1,3
tend,1,3
pockets,1,2
write,1,2
shorted,1,2
apply,1,3
complexity,1,2
anyone,1,3
diminished,1,2
invenstorsinvestors,1,2
after-hours,1,2
hit,1,5
seam,1,2
surely,1,3
stock-market,1,5
psychopaths,1,3
serial-killer,1,2
trouble,1,2
suffer,1,4
isaac,1,2
newton,1,2
minds,1,2
speculated,1,2
wildly,1,3
shirt,1,2
hobby,1,2
wheel,1,3
slip,1,2
sing,1,2
basketball,1,2
tennis,1,2
enhanced,1,2
feature,1,2
protect,1,2
unrealized,1,2
holdings,1,5
black,1,3
tuesday,1,3
crashed,1,3
officially,1,2
setting,1,2
depression,1,4
erratic,1,2
significantly,1,3
modest,1,2
uptick,1,2
redmond's,1,2
peril,1,2
joe,1,3
saluzzi,1,2
themis,1,2
jersey,1,2
spots,1,2
advised,1,3
describing,1,2
signed,1,2
balestri,1,2
soap,1,2
obtaining,1,2
guaranteed,1,2
british,1,2
emerged,1,2
dominated,1,2
super-fast,1,2
wells,1,4
fargo,1,4
hated,1,2
shut,1,4
authorities,1,3
cope,1,2
worst,1,2
terror,1,2
attacks,1,2
construct,1,2
balanced,1,2
equities,1,3
fits,1,2
cease,1,2
philosophy,1,2
seemed,1,3
market=crazy,1,2
sovereigns,1,2
german,1,4
french)=risk,1,2
claim,1,3
vibration,1,2
sending,1,4
upward,1,2
whilst,1,2
trending,1,3
envisaged,1,2
market-maker,1,2
wasserstein's,1,2
188,1,2
vested,1,2
learn,1,3
love,1,2
repeatedly,1,2
hopes,1,2
studied,1,2
musings,1,2
societe,1,2
generale,1,2
france,1,2
award,1,2
non-executive,1,2
meat,1,2
section,1,4
formula,1,2
stanley,1,3
charges,1,2
seven,1,2
pays,1,2
priority,1,2
regarding,1,2
liquidation,1,2
wizard,1,3
tony,1,2
oz,1,2
discloses,1,2
short-term,1,2
yet,1,6
comprehensive,1,2
manner,1,3
split,1,4
founder,1,2
mark,1,3
zuckerberg,1,2
world's,1,7
youngest,1,2
billionaires,1,2
twenty-seven,1,2
grow,1,3
expire,1,2
analyse,1,2
brothers,1,3
fraction,1,2
functioning,1,2
super-par,1,2
pricing,1,2
argument,1,2
falling,1,3
hurd,1,2
twelve,1,2
reacts,1,3
hefei,1,2
anhui,1,2
province,1,2
december,1,2
2011,1,2
led,1,5
incentives,1,4
mechanism,1,5
playing,1,2
premier,1,2
healthy,1,2
businesses,1,2
foresee,1,2
google,1,3
clearly,1,3
appeal,1,3
fisher,1,2
trends,1,5
comfortable,1,2
knowing,1,3
halted,1,3
rose,1,4
stated,1,2
receipts,1,2
derivations,1,2
although,1,4
carpenter,1,2
hauptmann,1,2
strike,1,2
22,1,2
hkex,1,2
minimise,1,2
l&g,1,2
bid,1,4
baskets,1,2
predetermined,1,3
treatment,1,2
frankfurt,1,3
stuttgart,1,2
dai,1,2
insists,1,2
tie-up,1,2
greater,1,4
wondering,1,2
answer,1,2
pretty,1,3
bleak,1,2
drama,1,2
plays,1,3
hardest,1,2
tests,1,2
founded,1,2
41,1,2
bidvest,1,2
logo,1,2
splashed,1,2
screens,1,2
screeners,1,2
parameters,1,2
etf,1,2
knew,1,2
dramatically,1,2
indicate,1,3
mere,1,2
existence,1,2
jobs,1,3
nikkei,1,4
20-year,1,2
attack,1,2
enable,1,2
speculate,1,2
absence,1,2
fades,1,2
equal,1,2
enthusiastic,1,2
drained,1,2
billion,1,4
institute,1,2
nasdaq-listed,1,2
27,1,3
infants,1,2
puberty,1,2
symptoms,1,2
sheets,1,2
enjoyable,1,2
mini-cycle,1,2
swoon,1,2
continual-declining,1,2
payments,1,2
contribute,1,2
performing,1,2
pantginis,1,2
citizens,1,2
overseas,1,3
banker,1,3
yeah,1,2
tanked,1,2
obvious,1,3
options's,1,2
principal-agent,1,3
restraint,1,2
mechanisms,1,3
sam,1,2
excused,1,2
happened,1,2
wal-mart,1,3
sideways,1,2
couldn't,1,3
ultimate,1,2
measurement,1,4
essay,1,2
analyses,1,3
handicap,1,2
suggestions,1,4
gann,1,3
principles,1,2
governing,1,3
schema,1,2
populated,1,2
in-depth,1,2
raises,1,2
policy-suggestions,1,2
stability,1,2
signals,1,3
disease,1,2
unpredictable,1,2
russia,1,2
finance,1,4
tsunami,1,3
suppose,1,3
calculate,1,2
host,1,2
multiprocessor,1,2
express,1,2
controls,1,4
berkshire's,1,3
believes,1,2
determined,1,4
dividing,1,2
felix,1,2
gillette,1,2
reporter,1,2
bloomberg,1,2
businessweek,1,2
scandal,1,2
pummeled,1,2
relies,1,2
effectiveness,1,2
hastoe,1,2
association,1,2
epping,1,3
essex,1,2
straw,1,2
houses,1,3
forest,1,2
council,1,2
milliseconds,1,2
parse,1,2
log,1,2
soaring,1,2
laws,1,3
personally,1,2
certify,1,2
accurately,1,2
views,1,2
assumed,1,2
multiples,1,2
spent,1,2
1980s,1,2
listings,1,4
transformed,1,2
surreal,1,2
circus,1,2
initatives,1,2
entrepreneurs,1,3
tax,1,6
stakes,1,2
osborne,1,2
stays,1,3
exit,1,2
elliot,1,2
obviously,1,3
acquisition,1,4
advance,1,3
proxy,1,3
debentures,1,2
fallen,1,4
34,1,2
scania's,1,2
takeover,1,2
reits,1,2
steady,1,3
hurt,1,3
jpmorgan,1,2
stepped,1,2
unless,1,3
competent,1,2
authority,1,2
deployed,1,2
smaller,1,2
accommodation,1,2
large-scale,1,2
specialized,1,2
residual,1,2
claimants,1,2
permanent,1,2
imposed,1,3
comply,1,2
eight,1,2
hundred,1,2
read,1,3
portlet,1,2
gambles,1,2
180,1,2
fishery,1,2
assessment,1,2
scientist,1,2
juicy,1,2
moscow,1,2
straining,1,2
heavily,1,4
clever,1,2
manipulation,1,4
turned,1,4
smarter,1,2
looked,1,2
pollution,1,2
gainers,1,2
e-mail,1,2
merrill's,1,2
president,1,2
complaining,1,2
symbols,1,2
provider's,1,2
pancreatic,1,2
cancer,1,2
february's,1,2
tumble,1,2
rushing,1,2
forms,1,3
filling,1,2
outperformed,1,2
31,1,3
percentage,1,5
promise,1,2
bucks,1,2
fished,1,2
troubled,1,2
waters,1,2
solicitors,1,2
accountants,1,2
recognized,1,2
body,1,2
respond,1,2
populous,1,2
anger,1,2
reaction,1,3
fears,1,2
reacted,1,2
indiscriminately,1,2
boom,1,6
triple,1,2
prospers,1,2
exchange-traded,1,2
resemble,1,2
index-oriented,1,2
political,1,2
roots,1,2
faint,1,2
correlation,1,3
column,1,3
coin,1,2
sides,1,3
student's,1,2
yukos's,1,2
dismemberment,1,2
rosneft's,1,2
loaded,1,2
spend,1,5
mother,1,2
notable,1,2
aversion,1,2
presumably,1,2
longer-term,1,2
sars,1,2
phantom,1,2
receiver,1,2
symbolic,1,2
swelling,1,2
highlights,1,2
assign,1,2
criteria,1,3
appraisal,1,2
insurance,1,3
separately,1,2
circ,1,3
h,1,2
alphabetical,1,2
generation,1,2
positioned,1,2
clutch,1,2
renowned,1,2
overallotment,1,2
lists,1,2
fundamentals,1,2
deteriorate,1,2
revenue,1,4
bull,1,5
personnel,1,2
acts,1,2
comparison,1,2
recommendations,1,2
fractures,1,2
technically,1,2
demanding,1,2
suboptimal,1,2
fixation,1,2
bone,1,2
americans,1,2
pushing,1,3
saving,1,2
severe,1,2
household,1,4
turmoil,1,3
uptrend,1,2
noise,1,2
chop,1,2
obscure,1,2
newspaper,1,2
bankrupting,1,2
spreads,1,2
scare,1,2
so-,1,2
circuit,1,2
breakers,1,2
time-,1,2
periods,1,4
e-mails,1,2
someone,1,2
hands,1,2
dramatic,1,3
russia's,1,3
suffered,1,2
substantial,1,3
outbreak,1,2
hostilities,1,2
georgia,1,2
encountered,1,2
pathological,1,2
exceeded,1,2
examples,1,4
prudent,1,2
eps,1,2
eri,1,2
amp,1,2
targeted,1,3
conditionally,1,2
bihl,1,2
former,1,3
poker,1,2
natural,1,2
progression,1,2
valuing,1,2
places,1,2
riskier,1,3
renewed,1,2
exodus,1,2
dismal,1,2
seal,1,3
affixed,1,2
endorsement,1,2
signature,1,3
fan,1,2
message,1,3
bottles,1,2
flint,1,2
amber,1,2
variation,1,2
closures,1,2
uk,1,2
28mm,1,2
mca,1,2
ropp,1,2
closure,1,2
mizuho,1,2
australia's,1,2
macquarie,1,2
miserable,1,2
discounted,1,3
regulating,1,2
guide,1,3
concentrated,1,2
proceeds,1,2
most-traded,1,2
giants,1,2
ebay,1,2
dell,1,2
thinking,1,2
buys,1,3
95,1,2
brk,1,2
upbeat,1,2
thursday,1,3
sank,1,2
lowest,1,3
november,1,2
dip,1,2
140,1,3
ipo,1,3
minchin,1,2
favour,1,3
offloading,1,2
a$8bn,1,2
a$10bn,1,2
improves,1,2
managerial,1,3
digesting,1,2
helpful,1,2
hospitality,1,2
facebook's,1,2
debut,1,2
friday,1,4
scoop,1,2
brightsource,1,2
canceling,1,2
cited,1,2
adverse,1,2
subscription-based,1,2
feeds,1,2
productivity,1,2
tone,1,2
seating,1,2
logo-,1,2
embossed,1,2
spoke,1,2
steering,1,2
imperator's,1,2
passenger,1,2
cabin,1,2
apart,1,2
slump,1,3
weather,1,3
commercial-,1,2
residential-mortgage,1,2
so-called,1,4
blue,1,2
chip,1,2
slower,1,2
malaysia's,1,2
stem,1,2
outflow,1,2
signs,1,3
burdened,1,2
slack,1,2
1932,1,2
proof,1,2
trio,1,2
regulate,1,2
button,1,2
seventy,1,2
workforce,1,3
wary,1,2
involvement,1,2
alter,1,2
out-and-out,1,2
garbage,1,2
fitted,1,2
gallery,1,2
shots,1,2
ok,1,2
eye,1,3
day`s,1,2
what`s,1,2
we`re,1,2
naked,1,2
link,1,2
longkong,1,2
labyrinthine,1,2
caves,1,2
cyclical,1,2
slowing,1,2
counter-purchase,1,3
infuse,1,2
30-40,1,2
adds,1,2
resist,1,2
degrees,1,2
intrinsic,1,2
vast,1,2
spokeswoman,1,2
success,1,2
preventing,1,2
fraud,1,2
secret,1,2
dealings,1,2
aimed,1,2
manipulating,1,3
recommendation,1,2
paced,1,2
factories,1,3
north's,1,2
gaeseong,1,2
city,1,2
helsinki,1,2
queasy,1,2
blow,1,2
harvard,1,2
university's,1,2
freeman,1,2
ballmer,1,2
boost,1,3
cash-and-stock,1,2
stood,1,2
initially,1,2
nominal,1,3
congratulations,1,2
k,1,2
police,1,2
barred,1,2
protesters,1,2
paternoster,1,2
recommended,1,2
definition,1,2
ui,1,2
ino,1,2
hear,1,2
arollercoasterroller-coaster,1,2
ride,1,3
week-,1,2
fluctuated,1,2
world-wide,1,2
practically,1,2
stationary,1,2
york's,1,2
fore,1,2
legal,1,3
certainly,1,2
moved,1,2
direction,1,2
brazilian,1,2
nyse,1,2
sits,1,2
somewhere,1,2
extreme,1,2
arrives,1,2
notification,1,2
subscriptions,1,2
scraper,1,3
invoke,1,2
script,1,2
delist,1,2
remove,1,2
violation,1,2
blunt,1,2
government-debt,1,2
holders,1,2
artificial,1,2
besides,1,2
depth,1,2
reform,1,2
stipulations,1,2
ratios,1,2
investor's,1,3
stye,1,2
open-ended,1,2
persistence,1,4
approve,1,2
sheep's,1,2
hong,1,2
kong-listed,1,2
risen,1,3
45,1,3
reflects,1,2
garfield,1,2
drew,1,2
odd-lot,1,2
propping,1,2
over-riding,1,2
encapsulates,1,2
sqlite,1,2
storing,1,2
mathematically,1,2
certainty,1,2
inflows,1,3
baby,1,2
boomers,1,2
acted,1,2
belief,1,2
fuelled,1,2
tested,1,2
climate,1,2
identified,1,2
analysed,1,2
origins,1,2
universe,1,2
probed,1,2
flogging,1,2
moaned,1,2
sentiments,1,2
expressed,1,2
behaviour,1,2
railroads,1,2
recovered,1,2
deutsche,1,2
poorest,1,2
performers,1,2
derivative,1,3
tightly,1,2
ghouls,1,2
own-usually,1,2
aboard,1,2
fast-moving,1,2
hop,1,2
slows,1,2
wisely,1,2
self-perpetuating,1,2
fueled,1,2
surge,1,4
chinext,1,2
kicked,1,2
overwhelming,1,2
over-the-counter,1,2
unavoidable,1,2
multi-level,1,2
em,1,2
capped,1,2
allowances,1,2
hangs,1,2
inflow,1,2
dries,1,2
stops,1,2
suck,1,2
spring's,1,2
three-for-one,1,2
surpasses,1,2
wii,1,2
u's,1,2
unveiling,1,2
jumped,1,3
sought,1,3
trader's,1,2
thoughts,1,2
swiftly,1,2
viciously,1,2
tencent,1,3
fair,1,2
over-heated,1,2
handheld,1,2
pc's,1,2
precise,1,2
non-linear,1,2
dynamics,1,2
participating,1,2
coexisting,1,2
grew,1,3
gdp,1,3
exceeds,1,2
sweeten,1,2
bondholders,1,2
unsecured,1,2
peers,1,2
stocktwits,1,2
discussions,1,2
twitter,1,2
enormous,1,2
striving,1,2
channels,1,2
fictional,1,2
offshore,1,3
yuan,1,3
stratospheric,1,2
loophole,1,2
corportation's,1,2
1989,1,2
free-fall,1,2
market's,1,5
temperature,1,2
sensible,1,2
jerry,1,2
hey,1,2
frank,1,2
nice,1,2
how's,1,2
hangang,1,2
embarked,1,2
overhaul,1,2
juggle,1,2
believe,1,4
horizon,1,2
synthesis,1,2
involve,1,2
rp,1,2
settlement,1,2
spectrum,1,2
statistical,1,3
scales,1,3
scaling,1,2
qualities,1,2
privatisation,1,2
normally,1,2
hinted,1,2
weaknesses,1,2
stalling,1,2
rough,1,2
kodak,1,2
happy,1,3
unnecessary,1,2
exchanging,1,2
[swapping,1,2
bits,1,2
paper],1,2
memory,1,3
helping,1,2
profitability,1,2
whatever,1,2
weight,1,2
exclude,1,2
accrued,1,2
autoregression,1,2
array,1,2
nonlinearity,1,2
leaps,1,2
intra-day,1,2
rallies,1,3
prompts,1,2
bankrupt,1,3
admit,1,2
parents,1,2
children,1,2
usd,1,2
bound,1,2
irregular,1,2
session,1,2
multiplied,1,2
shakiness,1,2
western,1,3
gulf,1,2
vietnam,1,2
hutchison,1,2
best-performing,1,2
blue-chip,1,2
2010,1,2
barely,1,3
eked,1,2
2005,1,3
underscoring,1,2
diminishment,1,2
win,1,2
rare,1,2
announcing,1,2
buyback,1,3
apotheker,1,2
helm,1,2
47,1,2
luol,1,2
deng,1,2
warrant,1,2
buffet,1,2
downside,1,2
contrast,1,3
plan's,1,2
announcement,1,3
warned,1,3
steer,1,2
covering,1,2
exceed,1,2
smith,1,2
geovax,1,2
penny,1,2
otc,1,2
predictor,1,2
treat,1,2
lottery,1,2
relied,1,2
appear,1,2
deduction,1,2
vanceinfo,1,2
outsource,1,2
destined,1,2
crimped,1,2
margins,1,3
small&medium,1,2
basically,1,2
obtain,1,3
yen,1,2
invoking,1,2
multiplying,1,2
responses,1,2
tiptoeing,1,2
britain,1,2
presented,1,3
makers,1,2
jobbers,1,2
xiecheng,1,3
undersells,1,2
plummeted,1,2
economyimploded,1,2
funding,1,2
evaporated,1,2
yields,1,2
rotate,1,2
faster-growing,1,2
justify,1,2
treating,1,2
earth,1,2
pillow,1,2
crayon,1,2
literally,1,2
fondly,1,2
fountains,1,2
accused,1,2
illegal,1,3
cheaply,1,2
janus,1,2
wanted,1,2
averaging,1,2
mishra,1,2
dominant,1,2
oversea,1,2
seoul,1,2
w,1,2
skill,1,2
testing,1,3
systematic,1,2
caused,1,2
plummet,1,2
spur,1,2
turbulence,1,2
zynga,1,2
happier,1,2
unhappy,1,2
upside,1,3
all-stock,1,2
vectors,1,2
whited,1,2
-out,1,2
plotted,1,2
seeing,1,2
albeit,1,2
minor,1,2
theoretically,1,2
transmission,1,2
creating,1,2
linkage,1,2
gauge,1,2
vix,1,2
one-month,1,2
sudden,1,2
cross-section,1,2
underpin,1,2
weaker,1,3
opened,1,2
career,1,2
fast-paced,1,2
intense,1,2
rewards,1,3
tens,1,2
hazardous,1,2
sidestep,1,2
weak,1,2
stanley's,1,2
suggesting,1,2
shrug,1,2
executions,1,2
unimaginable,1,2
mid-1990s,1,2
respectively,1,2
spiralled,1,2
lurched,1,2
synch,1,2
system's,1,2
inflating,1,2
bars,1,2
screaming,1,2
temptation,1,2
manipulate,1,2
anyway,1,2
marker,1,2
credited,1,2
viewed,1,3
underwriting,1,3
generates,1,2
fewer,1,2
weakness,1,2
measured,1,2
165,1,2
attributed,1,2
freddie,1,2
subordinated,1,2
spread,1,2
citic,1,2
ms,1,2
ng,1,2
court,1,2
taking-stock,1,2
conferences,1,2
throughout,1,2
depending,1,2
giant's,1,2
21,1,2
revenues,1,2
satisfying,1,2
capitalisation,1,2
invests,1,2
arbitrage,1,2
experiment,1,2
forecasting,1,2
fluctuations,1,2
lifetime,1,2
second-largest,1,2
arrived,1,2
harold,1,2
remade,1,2
wiped,1,2
event,1,2
events'effects,1,2
stock-markets,1,2
asia's,1,2
attractive,1,3
sworn,1,2
5m,1,2
closer,1,3
latter,1,3
stand,1,2
hereby,1,2
irrevocably,1,2
constitute,1,2
appoint,1,2
press,1,2
elevated,1,2
allowing,1,2
piles,1,2
thicker,1,2
substrates,1,2
contacted,1,2
practice,1,3
negotiable,1,2
globally,1,2
exchanged,1,2
relishes,1,2
overvalued,1,2
patience,1,2
impossibly,1,2
dimes,1,2
slept,1,2
prizes,1,2
newyork,1,2
announcements,1,2
chosen,1,2
solid,1,3
headspace,1,2
non-state,1,2
icon,1,2
transparency,1,2
activate,1,2
ex-rights,1,2
purchaser,1,2
entitled,1,2
declared,1,2
sachs,1,2
highflying,1,3
betting,1,2
reversal,1,2
haywire,1,2
answers,1,2
solving,1,2
detailed,1,2
holy,1,2
relaxed,1,2
tuple,1,2
tickers,1,2
innovative,1,2
systemic,1,2
believer,1,2
tip,1,2
easiest,1,2
informational,1,2
examine,1,2
handles,1,2
corporation's,1,2
than100,1,2
stray,1,2
fama-french,1,2
explains,1,2
ordinary,1,2
magic,1,2
insight,1,2
225,1,2
benchmark,1,2
merely,1,2
forfeits,1,2
unvested,1,2
unexercised,1,2
cornerstone,1,2
commit,1,2
principal,1,2
recorded,1,2
continuation,1,2
long-running,1,2
roller-coaster,1,2
stock-fund,1,2
bailout,1,2
restructuring,1,2
18,1,2
germany,1,2
cash-cow,1,2
mascot,1,2
dax,1,2
non-efficiency,1,2
sensex,1,3
bombay,1,3
11,1,2
pulled,1,3
indian,1,2
delaminated,1,2
re-positioning,1,2
re-using,1,2
fever,1,2
crashes,1,2
tense,1,2
hose,1,2
reel,1,2
corporations,1,2
discusses,1,2
choices,1,2
nearing,1,2
suspend,1,2
heard,1,2
wearing,1,2
handcuffs,1,2
barsom,1,2
ex-lehman,1,2
promoter,1,2
compensate,1,2
abnormal,1,2
phenomena,1,2
insider,1,2
thoroughly,1,2
plunging,1,2
worried,1,2
solvency,1,2
east,1,2
fat,1,2
fighting,1,2
canadians,1,2
capitulate,1,2
krones,1,2
aiming,1,2
render,1,3
uncle,1,2
owns,1,2
strings,1,2
hired,1,2
five-year,1,2
classmate,1,2
10m,1,2
colleague,1,2
protective,1,2
violated,1,2
bse,1,2
30-day,1,2
nine,1,2
rows,1,2
fields,1,2
configuring,1,2
subscription,1,2
measures,1,2
misleads,1,2
performances,1,2
potentials,1,2
crowding,1,2
s&p,1,2
500,1,2
sophisticated,1,2
shortcoming,1,2
exchange's,1,2
10%or,1,2
5minutes,1,2
puts,1,2
impacting,1,2
pencils,1,2
backward,1,2
investigated,1,2
intended,1,2
deceive,1,2
potash,1,2
proves,1,2
realized,1,3
superior,1,2
closing,1,2
limits,1,2
baidu,1,2
safest,1,2
enjoyed,1,2
promoters,1,2
sprang,1,2
delayed,1,2
regains,1,2
degree,1,2
buoyancy,1,2
concluded,1,2
msci,1,2
16,1,2
excluding,1,2
stock-grant,1,2
computerized,1,2
bail,1,2
assistant,1,2
wsc,1,2
subscriber,1,2
notifications,1,2
susceptible,1,2
panic,1,2
ought,1,2
altogether,1,2
dick,1,2
sweep,1,2
hesitate,1,2
incomes,1,2
reviewing,1,2
considerations,1,2
110m,1,2
wolf,1,2
characterized,1,2
correlations,1,2
reversals,1,3
huaxi,1,2
commune,1,2
uranus,1,2
turning,1,2
retrograde,1,2
strongest,1,2
signatures,1,2
correlating,1,2
topix,1,2
portfolios,1,2
rebounded,1,2
1968,1,2
seaworld,1,2
[citation,1,2
needed],1,2
enabling,1,2
leaking,1,2
shanghai's,1,2
builders,1,2
herbs,1,2
perennial,1,2
formed,1,2
overlapping,1,2
petioles,1,2
basal,1,2
bud,1,2
fibrous,1,2
portfoliovalue,1,2
caller,1,2
compute,1,2
unknown,1,2
jms,1,2
mdb,1,2
associated,1,2
shorting,1,2
curb,1,2
newly-tradable,1,2
harder,1,2
dumping,1,2
introduction,1,2
